Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Delivery_Time,Distance_km
INDORES13DEL02,37,4.9,3,2,24,3.025149286
BANGRES18DEL02,34,4.5,3,3,33,20.18352973
BANGRES19DEL01,23,4.4,1,2,26,1.552757802
COIMBRES13DEL02,38,4.7,0,2,21,7.79040136
CHENRES12DEL01,32,4.6,3,3,30,6.210137966
HYDRES09DEL03,22,4.8,0,2,26,4.610365144
RANCHIRES15DEL01,33,4.7,2,3,40,16.60036113
MYSRES15DEL02,35,4.6,2,2,32,20.20525324
HYDRES05DEL02,22,4.8,0,2,34,19.97552009
DEHRES17DEL01,36,4.2,3,2,46,10.28058206
KOCRES16DEL01,21,4.7,2,2,23,6.242318683
PUNERES13DEL03,23,4.7,1,3,21,13.78786024
LUDHRES15DEL02,34,4.3,0,2,20,2.930257801
KNPRES14DEL02,24,4.7,3,3,41,19.39661829
MUMRES15DEL03,29,4.5,0,1,20,13.76397722
MYSRES01DEL01,35,4,2,3,33,6.21800119
PUNERES20DEL01,33,4.2,3,2,40,16.84993992
HYDRES14DEL01,34,4.9,3,2,41,10.7571088
KOLRES15DEL03,21,4.7,2,2,15,4.540574389
PUNERES19DEL02,25,4.1,3,2,36,12.25607645
RANCHIRES06DEL02,31,4.7,2,1,26,19.61873935
COIMBRES13DEL01,37,5,3,2,20,1.558132266
CHENRES19DEL02,33,4.3,2,3,39,20.18063511
MUMRES02DEL01,25,4,0,2,34,6.11697167
CHENRES01DEL01,29,4.5,2,1,15,17.0755944
JAPRES16DEL03,27,5,3,2,18,4.470286489
SURRES15DEL03,35,4.3,1,3,38,13.68204453
BANGRES09DEL03,32,4,0,2,47,13.97318265
PUNERES04DEL01,23,4.8,0,1,12,16.85361873
COIMBRES02DEL03,31,4.8,1,2,26,4.674172124
SURRES16DEL02,36,4.1,1,2,22,7.601616771
GOARES15DEL02,26,4.3,0,2,21,7.720324413
GOARES07DEL01,38,4.9,1,3,25,6.175636261
RANCHIRES02DEL01,32,3.5,3,3,35,17.29786575
PUNERES19DEL02,32,4.6,1,3,30,19.91468697
PUNERES02DEL01,33,4.9,3,2,22,10.72451775
PUNERES18DEL01,20,4.7,3,3,10,6.127835453
SURRES08DEL01,20,4.8,2,3,19,1.520357313
HYDRES17DEL02,35,5,3,3,11,3.07345376
BANGRES17DEL02,26,4.9,0,3,11,3.105131478
BANGRES17DEL01,22,4.8,3,2,28,10.86742683
CHENRES11DEL01,35,4.3,3,2,33,10.8654646
MUMRES17DEL02,29,4.6,1,3,33,12.23672362
MUMRES07DEL01,28,4.6,3,3,22,16.82624165
KOLRES16DEL02,37,4.9,3,3,16,3.027236931
MUMRES02DEL03,23,4.9,1,1,11,9.175193844
BANGRES05DEL03,27,4.9,1,3,25,9.315069177
CHENRES11DEL01,37,4.8,1,2,26,6.209021102
SURRES09DEL01,33,5,3,3,18,1.520344728
RANCHIRES15DEL01,31,4.9,3,2,16,6.037225392
BANGRES19DEL01,31,4.8,1,3,23,17.0786655
AURGRES20DEL03,25,5,3,2,15,4.717601092
COIMBRES14DEL02,28,4.8,1,2,36,12.4643293
SURRES08DEL03,31,4.7,3,2,16,9.121425982
COIMBRES07DEL03,24,4.7,0,2,19,14.02323208
AGRRES12DEL03,39,4.6,3,2,27,13.39261228
VADRES02DEL02,39,4.2,3,3,49,12.58026782
JAPRES14DEL01,32,4.5,0,3,20,1.489927164
VADRES04DEL03,36,4.7,3,2,30,9.435201537
JAPRES18DEL02,25,4.8,1,3,18,11.91658284
MYSRES04DEL03,33,4.9,1,3,22,4.663566689
SURRES12DEL01,30,4.4,1,3,34,10.64115773
MUMRES04DEL01,33,5,0,2,24,16.81836892
PUNERES02DEL01,36,4.9,1,3,17,6.128551258
ALHRES07DEL02,21,4.8,2,1,14,2.996250037
DEHRES19DEL02,39,4.9,2,2,30,7.342175723
VADRES16DEL02,23,4.8,2,3,15,3.145067435
VADRES09DEL01,35,4.8,0,3,16,6.290134678
CHENRES12DEL03,39,4.6,3,3,36,13.97212398
SURRES11DEL01,22,4.7,0,3,18,6.081440797
SURRES01DEL01,32,4.6,2,3,17,6.080891508
VADRES15DEL02,24,4.8,0,2,15,12.58026782
MYSRES14DEL02,29,4.7,0,2,17,3.145067435
BANGRES13DEL01,29,4.6,1,3,19,6.21058961
HYDRES13DEL03,26,4.7,0,2,10,9.220373067
BHPRES12DEL02,20,4.5,1,2,27,7.862668167
CHENRES11DEL03,35,4.1,0,2,37,13.96960643
BANGRES010DEL03,39,4.6,1,3,44,13.97320677
VADRES20DEL01,34,4.7,1,1,28,6.058853852
BANGRES11DEL01,27,4.7,3,3,42,17.07799287
DEHRES01DEL01,30,4.8,3,2,25,17.29786575
CHENRES02DEL01,25,4.4,3,3,39,17.07287191
MUMRES04DEL01,25,4.7,2,2,20,16.81836892
JAPRES03DEL02,30,5,0,2,31,2.979502851
HYDRES04DEL03,24,4.6,0,2,13,9.220865975
PUNERES14DEL02,39,4.8,2,2,28,7.661331134
GOARES04DEL01,25,4.8,3,3,19,6.175516093
AURGRES08DEL02,37,4.6,0,2,42,12.20985656
BANGRES12DEL01,24,5,1,2,23,1.552681314
HYDRES05DEL01,25,4.2,2,2,39,16.90280673
RANCHIRES17DEL01,32,4.6,1,2,25,1.50935777
AGRRES010DEL01,34,4.7,1,3,15,6048.63124
INDORES12DEL02,38,4.9,1,3,15,3.025118639
JAPRES15DEL03,36,4.8,0,1,15,13.40709269
SURRES16DEL01,25,5,2,2,15,16.72197605
MYSRES16DEL02,29,5,1,2,18,7.772343594
MUMRES05DEL03,36,4.7,1,1,29,13.77373766
COIMBRES19DEL02,33,4.7,3,2,20,7.790158927
MYSRES07DEL01,36,4.4,2,3,39,6.217834399
PUNERES17DEL01,21,4.8,3,2,19,16.85283488
HYDRES19DEL03,25,4.8,3,3,19,4.610035602
MUMRES14DEL02,23,4.8,2,2,17,19.87987068
COIMBRES02DEL01,25,4.6,3,2,15,1.558083399
INDORES05DEL02,24,4.3,2,2,19,3.025332706
BANGRES03DEL03,27,4.6,0,2,29,13.97194896
MUMRES11DEL01,23,4.8,3,3,22,16.83090555
MYSRES12DEL02,21,4.3,1,3,42,20.20779793
SURRES09DEL02,27,4.7,3,3,12,3.040641622
COIMBRES12DEL02,32,4.2,3,2,38,20.25378536
SURRES08DEL01,25,4.6,1,2,23,16.72129601
KNPRES05DEL02,39,4.7,2,3,15,2.98455079
SURRES05DEL02,27,4.6,3,2,24,12.16145053
MUMRES15DEL01,39,3.8,1,2,37,16.82215561
BANGRES15DEL02,31,4.8,3,3,24,7.762556904
RANCHIRES11DEL03,31,4.8,0,1,13,9.055855162
MYSRES08DEL01,20,4.8,1,2,16,1.554581663
RANCHIRES07DEL02,36,4.9,1,2,42,12.0740475
RANCHIRES01DEL03,20,4.9,2,2,17,13.58037388
JAPRES17DEL03,24,4.6,1,2,25,4.469620876
VADRES06DEL01,29,4.6,3,1,25,16.65983832
